matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pos_type
0,56.0,64.99999,35.87025,148.46774,-72.81727,113.39278,-32.694286,149.69688,-143.11494,269.74646,4.8849416,341.97684,136.19714,257.86856,605141,623433,1,pitcher
1,56.0,64.99999,24.897114,152.17952,-74.72775,110.657394,-39.713062,146.80106,-147.90833,260.5528,-17.91708,334.00406,119.40507,257.72977,605141,623433,1,Curveball
2,56.0,64.99999,41.68248,145.86728,-70.74968,116.12808,-23.633337,152.5134,-139.37744,283.51892,10.899616,346.16397,139.45645,260.13284,605141,623433,1,Fastball
