,release_speed,mx,mz,plate_x,plate_z,release_spin_rate
mean,88.88230852903384,-1.3402985590599077,7.679125753605385,0.04293544364223416,2.2817536377981256,2241.190546957659
scale,6.1001469561770065,10.52326559500993,8.96315869261917,0.8439624977483385,0.9778566535399669,334.39028266799545
